# Epoch	ACC	NMI	ARI	F1
0	0.2637	0.0523	0.0314	0.2089
1	0.2707	0.0588	0.0327	0.2392
2	0.2541	0.0652	0.026	0.237
3	0.2489	0.0775	0.0305	0.228
4	0.2618	0.0903	0.0332	0.227
5	0.2485	0.0811	0.0338	0.2123
6	0.2585	0.0842	0.035	0.208
7	0.281	0.1047	0.0568	0.2271
8	0.2958	0.1148	0.0643	0.2442
9	0.3047	0.1287	0.0778	0.2576
10	0.3002	0.1348	0.0817	0.2608
11	0.3331	0.1519	0.1015	0.2898
12	0.3216	0.155	0.0956	0.2862
13	0.3508	0.1603	0.1128	0.3122
14	0.3564	0.182	0.1262	0.3164
15	0.3759	0.1959	0.1423	0.3288
16	0.3711	0.2102	0.1492	0.3195
17	0.4051	0.2224	0.1725	0.3424
18	0.397	0.2213	0.1713	0.3346
19	0.4162	0.2513	0.2002	0.3537
20	0.4228	0.2371	0.2051	0.3477
21	0.4136	0.2504	0.2024	0.3485
22	0.4132	0.2458	0.2009	0.3338
23	0.4284	0.2688	0.2225	0.3513
24	0.4328	0.2722	0.2296	0.3518
25	0.425	0.2761	0.2348	0.3387
26	0.4682	0.298	0.2611	0.3846
27	0.4575	0.296	0.2517	0.3731
28	0.4509	0.2904	0.2434	0.3653
29	0.4775	0.304	0.263	0.3881
30	0.4679	0.312	0.2707	0.3766
31	0.4863	0.3216	0.2845	0.3902
32	0.4734	0.3041	0.2743	0.3744
33	0.4823	0.3216	0.2919	0.3784
34	0.5022	0.3283	0.305	0.4007
35	0.4841	0.3184	0.2923	0.3786
36	0.4963	0.3275	0.3062	0.3864
37	0.514	0.3422	0.315	0.4059
38	0.5114	0.3301	0.3091	0.4066
39	0.5129	0.3255	0.3093	0.4024
40	0.4963	0.3381	0.3202	0.3814
41	0.5196	0.3466	0.3243	0.4024
42	0.5203	0.3423	0.3332	0.3986
43	0.503	0.3487	0.323	0.3925
44	0.5126	0.3346	0.3156	0.3974
45	0.5247	0.3445	0.3299	0.4078
46	0.5177	0.3512	0.3265	0.3985
47	0.5144	0.3323	0.3121	0.4016
48	0.5162	0.348	0.332	0.3954
49	0.5251	0.3452	0.3417	0.4041
50	0.5343	0.3453	0.3314	0.4218
51	0.5203	0.3519	0.3345	0.402
52	0.5129	0.3299	0.3217	0.3893
53	0.5266	0.3532	0.3405	0.4011
54	0.5244	0.35	0.3418	0.4089
55	0.5284	0.3413	0.3385	0.4063
56	0.5332	0.3462	0.3379	0.413
57	0.5244	0.3429	0.3269	0.4072
58	0.538	0.3623	0.35	0.4239
59	0.5266	0.3486	0.3409	0.41
60	0.5539	0.3561	0.3525	0.4423
61	0.5491	0.365	0.3541	0.4373
62	0.5499	0.3573	0.3506	0.4387
63	0.5351	0.3475	0.3493	0.4207
64	0.562	0.3683	0.3645	0.4546
65	0.551	0.3598	0.3651	0.4378
66	0.5598	0.3592	0.3597	0.4551
67	0.562	0.3639	0.3691	0.4532
68	0.579	0.3861	0.3822	0.4778
69	0.5775	0.3765	0.3768	0.4762
70	0.5746	0.3711	0.3735	0.4704
71	0.5838	0.3942	0.396	0.4803
72	0.5823	0.3758	0.3774	0.4845
73	0.575	0.3778	0.3748	0.4707
74	0.5801	0.3805	0.3825	0.4752
75	0.5934	0.4064	0.3955	0.4917
76	0.589	0.3972	0.3867	0.4904
77	0.5801	0.392	0.3751	0.4798
78	0.5875	0.3927	0.3757	0.491
79	0.6052	0.4228	0.3924	0.5103
